timestamp,src_ip,dst_ip,protocol,dns_query
2026-02-03 19:13:50.333639,10.2.3.101,10.2.3.1,DNS,drive.google.com
2026-02-03 19:13:50.402785,10.2.3.1,10.2.3.101,DNS,drive.google.com
2026-02-03 19:13:50.403456,10.2.3.101,142.250.115.138,TCP,
2026-02-03 19:13:50.442233,142.250.115.138,10.2.3.101,TCP,
2026-02-03 19:13:50.442473,10.2.3.101,142.250.115.138,TCP,
2026-02-03 19:13:50.448378,10.2.3.101,142.250.115.138,TLS,
2026-02-03 19:13:50.448536,142.250.115.138,10.2.3.101,TCP,
2026-02-03 19:13:50.487701,142.250.115.138,10.2.3.101,TLS,
2026-02-03 19:13:50.487701,142.250.115.138,10.2.3.101,TCP,
2026-02-03 19:13:50.487783,142.250.115.138,10.2.3.101,TCP,
2026-02-03 19:13:50.487783,142.250.115.138,10.2.3.101,TLS,
2026-02-03 19:13:50.487942,10.2.3.101,142.250.115.138,TCP,
2026-02-03 19:13:50.488067,10.2.3.101,142.250.115.138,TCP,
2026-02-03 19:13:50.490990,10.2.3.101,142.250.115.138,TLS,
2026-02-03 19:13:50.491152,142.250.115.138,10.2.3.101,TCP,
2026-02-03 19:13:50.537393,142.250.115.138,10.2.3.101,TLS,
2026-02-03 19:13:50.586620,10.2.3.101,142.250.115.138,TCP,
2026-02-03 19:13:50.608386,10.2.3.101,142.250.115.138,TLS,
2026-02-03 19:13:50.608554,142.250.115.138,10.2.3.101,TCP,
2026-02-03 19:13:50.671200,142.250.115.138,10.2.3.101,TLS,
2026-02-03 19:13:50.672894,142.250.115.138,10.2.3.101,TLS,
2026-02-03 19:13:50.673035,10.2.3.101,142.250.115.138,TCP,
2026-02-03 19:13:50.676256,10.2.3.101,10.2.3.1,DNS,drive.usercontent.google.com
2026-02-03 19:13:50.702475,10.2.3.1,10.2.3.101,DNS,drive.usercontent.google.com
2026-02-03 19:13:50.702952,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:50.728297,142.251.186.132,10.2.3.101,TCP,
2026-02-03 19:13:50.728554,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:50.896759,10.2.3.101,142.251.186.132,TLS,
2026-02-03 19:13:50.896929,142.251.186.132,10.2.3.101,TCP,
2026-02-03 19:13:50.936509,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:50.936946,142.251.186.132,10.2.3.101,TCP,
2026-02-03 19:13:50.936947,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:50.937132,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:50.939676,10.2.3.101,142.251.186.132,TLS,
2026-02-03 19:13:50.939804,142.251.186.132,10.2.3.101,TCP,
2026-02-03 19:13:50.976848,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:50.989098,10.2.3.101,142.251.186.132,TLS,
2026-02-03 19:13:50.989320,142.251.186.132,10.2.3.101,TCP,
2026-02-03 19:13:52.295345,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.296153,142.251.186.132,10.2.3.101,TCP,
2026-02-03 19:13:52.296154,142.251.186.132,10.2.3.101,TCP,
2026-02-03 19:13:52.296154,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.296155,142.251.186.132,10.2.3.101,TCP,
2026-02-03 19:13:52.296160,142.251.186.132,10.2.3.101,TCP,
2026-02-03 19:13:52.296161,142.251.186.132,10.2.3.101,TCP,
2026-02-03 19:13:52.296161,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.296161,142.251.186.132,10.2.3.101,TCP,
2026-02-03 19:13:52.296171,142.251.186.132,10.2.3.101,TCP,
2026-02-03 19:13:52.296171,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.296172,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.296172,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.296626,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:52.330549,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.330549,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.330550,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.330554,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.330801,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:52.331988,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.332109,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:52.332159,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.334040,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.334041,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.334180,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:52.342187,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.342301,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:52.342581,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.342582,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.342709,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:52.342784,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.342784,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.342788,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.342947,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:52.347073,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.347182,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:52.347446,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.347446,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.347447,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.347602,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:52.350769,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.350877,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:52.351637,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.362053,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.362053,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.362057,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.362211,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:52.363286,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.363287,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.363287,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.363291,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.363292,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.363506,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:52.367019,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.367019,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.367146,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:52.368133,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.368134,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.368269,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:52.369792,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.369792,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.369919,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:52.376287,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.376287,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.376423,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:52.387740,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.387852,10.2.3.101,142.251.186.132,TCP,
2026-02-03 19:13:52.397203,142.251.186.132,10.2.3.101,TLS,
2026-02-03 19:13:52.397203,142.251.186.132,10.2.3.101,TLS,
